Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,slide_1,frecuencia,Force,Experimental_1
45684,,21.4,0.05464,13.753823265387847,1351.856328334147,4.741000000000001,0.0,0.0,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.04426,13.753823265387847,1351.856328334147,4.741000000000001,0.0,0.19928000000000168,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.027200000000000002,13.753823265387847,1351.856328334147,4.741000000000001,0.0,0.40044800000000436,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.00818,13.753823265387847,1351.856328334147,4.741000000000001,0.0,0.600878000000003,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.0023399999999999996,13.753823265387847,1351.856328334147,4.741000000000001,0.0,0.799682,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.003,13.753823265387847,1351.856328334147,4.741000000000001,0.0,1.001666000000006,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.003,13.753823265387847,1351.856328334147,4.741000000000001,0.0,1.2015420000000048,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.0030199999999999997,13.753823265387847,1351.856328334147,4.741000000000001,0.0,1.3988460000000003,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.0030399999999999997,13.753823265387847,1351.856328334147,4.741000000000001,0.0,1.5986480000000014,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.003,14.564764765313615,1447.4909765873344,4.741000000000001,0.0126,1.8004720000000063,0.0126,0.25Hz,79.50596800000002,
45684,,21.4,0.00678,17.80853076501668,1809.9746691399782,4.741000000000001,0.063,1.999280000000003,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.029820000000000003,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,2.1985100000000046,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.05242,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,2.3983580000000044,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,2.598410000000001,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.05378000000000001,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,2.7992300000000014,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.053759999999999995,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,3.0011740000000033,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.053759999999999995,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,3.199332000000001,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.053779999999999994,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,3.3992760000000017,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.053739999999999996,17.80853076501668,1729.7550672995553,4.741000000000001,0.063,3.5990200000000003,0.063,0.25Hz,97.21299999999998,
45684,,21.4,0.053759999999999995,16.997589265090916,1654.1753195064734,4.741000000000001,0.0504,3.799970000000003,0.0504,0.25Hz,92.786242,
45684,,21.4,0.052039999999999996,13.753823265387847,1351.856328334147,4.741000000000001,0.0,3.9990140000000025,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.040639999999999996,13.753823265387847,1351.856328334147,4.741000000000001,0.0,4.198790000000005,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.02216,13.753823265387847,1351.856328334147,4.741000000000001,0.0,4.398948000000002,0.0,0.25Hz,75.07921000000003,
45684,,21.4,0.00722,13.753823265387847,1351.856328334147,4.741000000000001,0.0,4.598546000000002,0.0,0.25Hz,75.07921000000003,
