Date,Time,Test_ID,Laser experimental,Pressure,dac_bits,mass,Unity theoretical,time,slide_1,Experimental_1,frecuencia,Force
45684,,34.857142857142854,0.062142857142857146,13.75382326538785,1351.856328334147,4.7410000000000005,0.0,0.0,0.0,0.062142857142857146,0.25Hz,75.07921000000005
45684,,34.857142857142854,0.053857142857142846,13.75382326538785,1351.856328334147,4.7410000000000005,0.0,0.1991714285714384,0.0,0.053857142857142846,0.25Hz,75.07921000000005
45684,,34.857142857142854,0.0363,13.75382326538785,1351.856328334147,4.7410000000000005,0.0,0.400028571428574,0.0,0.0363,0.25Hz,75.07921000000005
45684,,34.857142857142854,0.01912857142857143,13.75382326538785,1351.856328334147,4.7410000000000005,0.0,0.5997000000000006,0.0,0.01912857142857143,0.25Hz,75.07921000000005
45684,,34.857142857142854,0.007728571428571429,13.75382326538785,1351.856328334147,4.7410000000000005,0.0,0.7989571428571318,0.0,0.007728571428571429,0.25Hz,75.07921000000005
45684,,34.857142857142854,0.004028571428571428,13.803531332188538,1449.9551234246926,4.7410000000000005,0.0007714285714285713,0.9983857142857298,0.0007714285714285713,0.004028571428571428,0.25Hz,75.3505558151971
45684,,34.857142857142854,0.003828571428571429,14.07546439169816,1475.7615707721554,4.7410000000000005,0.004985714285714286,1.199600000000016,0.004985714285714286,0.003828571428571429,0.25Hz,76.8349808282947
45684,,34.857142857142854,0.003985714285714286,14.347527091791422,1501.5803210110064,4.7410000000000005,0.00922857142857143,1.4008571428571486,0.00922857142857143,0.003985714285714286,0.25Hz,78.320113521898
45684,,34.857142857142854,0.005514285714285715,14.616784924802063,1527.1328893637162,4.7410000000000005,0.013414285714285714,1.6001142857142798,0.013414285714285714,0.005514285714285715,0.25Hz,79.78993503979001
45684,,34.857142857142854,0.010085714285714285,14.886455353262985,1552.7246130246579,4.7410000000000005,0.0176,1.7996285714285705,0.0176,0.010085714285714285,0.25Hz,81.262008828913
